timestamp,icu_unit,beds_total,beds_occupied,beds_available,ventilators_total,ventilators_in_use,nursing_staff_present,nursing_staff_required,critical_patients,stable_patients,utilization_rate
2024-05-05 17:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-05 17:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-05 17:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-05 17:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-05 19:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-05 19:00:00,ICU-Cardiac,5,5,0,4,3,2,2,2,3,1.0
2024-05-05 19:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-05 19:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 19:00:00,ICU-Trauma,6,6,0,5,3,2,3,3,3,1.0
2024-05-05 21:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
2024-05-05 21:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 21:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-05 21:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 21:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-05 23:00:00,ICU-General,8,7,1,6,4,2,3,2,5,0.875
2024-05-05 23:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 23:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-05 23:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 23:00:00,ICU-Trauma,6,6,0,5,4,2,3,3,3,1.0
2024-05-06 01:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-06 01:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-06 01:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-06 01:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 01:00:00,ICU-Trauma,6,6,0,5,4,3,3,3,3,1.0
2024-05-06 03:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
2024-05-06 03:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-06 03:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 03:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 03:00:00,ICU-Trauma,6,6,0,5,4,2,3,4,2,1.0
2024-05-06 05:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-06 05:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-06 05:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-06 05:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 05:00:00,ICU-Trauma,6,6,0,5,3,3,3,3,3,1.0
2024-05-06 07:00:00,ICU-General,8,8,0,6,4,3,4,4,4,1.0
2024-05-06 07:00:00,ICU-Cardiac,5,5,0,4,3,2,2,3,2,1.0
2024-05-06 07:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-06 07:00:00,ICU-Neonatal,3,3,0,2,2,1,1,1,2,1.0
2024-05-06 07:00:00,ICU-Trauma,6,6,0,5,3,2,3,4,2,1.0
2024-05-06 09:00:00,ICU-General,8,8,0,6,4,3,4,5,3,1.0
2024-05-06 09:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-06 09:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 09:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 09:00:00,ICU-Trauma,6,6,0,5,4,2,3,2,4,1.0
2024-05-06 11:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-06 11:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-06 11:00:00,ICU-Pediatric,4,4,0,3,2,2,2,2,2,1.0
2024-05-06 11:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 11:00:00,ICU-Trauma,6,6,0,5,3,2,3,2,4,1.0
2024-05-06 13:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-06 13:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-06 13:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 13:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 13:00:00,ICU-Trauma,6,5,1,5,4,1,2,2,3,0.8333
2024-05-06 15:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
2024-05-06 15:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-06 15:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-06 15:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 15:00:00,ICU-Trauma,6,6,0,5,3,2,3,3,3,1.0
2024-05-06 17:00:00,ICU-General,8,8,0,6,4,3,4,4,4,1.0
2024-05-06 17:00:00,ICU-Cardiac,5,4,1,4,2,2,2,2,2,0.8
2024-05-06 17:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 17:00:00,ICU-Neonatal,3,3,0,2,2,1,1,1,2,1.0
2024-05-06 17:00:00,ICU-Trauma,6,6,0,5,4,2,3,3,3,1.0
2024-05-06 19:00:00,ICU-General,8,8,0,6,4,3,4,4,4,1.0
2024-05-06 19:00:00,ICU-Cardiac,5,5,0,4,2,1,2,2,3,1.0
2024-05-06 19:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 19:00:00,ICU-Neonatal,3,3,0,2,2,1,1,1,2,1.0
2024-05-06 19:00:00,ICU-Trauma,6,6,0,5,4,2,3,3,3,1.0
2024-05-06 21:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-06 21:00:00,ICU-Cardiac,5,4,1,4,2,2,2,1,3,0.8
2024-05-06 21:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-06 21:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-06 21:00:00,ICU-Trauma,6,5,1,5,4,1,2,3,2,0.8333
2024-05-06 23:00:00,ICU-General,8,7,1,6,5,3,3,4,3,0.875
2024-05-06 23:00:00,ICU-Cardiac,5,5,0,4,3,2,2,2,3,1.0
2024-05-06 23:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-06 23:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-06 23:00:00,ICU-Trauma,6,6,0,5,4,3,3,2,4,1.0
2024-05-07 01:00:00,ICU-General,8,8,0,6,4,3,4,4,4,1.0
2024-05-07 01:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-07 01:00:00,ICU-Pediatric,4,4,0,3,2,2,2,2,2,1.0
2024-05-07 01:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 01:00:00,ICU-Trauma,6,6,0,5,3,2,3,3,3,1.0
2024-05-07 03:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-07 03:00:00,ICU-Cardiac,5,5,0,4,3,2,2,3,2,1.0
2024-05-07 03:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-07 03:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 03:00:00,ICU-Trauma,6,6,0,5,3,2,3,4,2,1.0
2024-05-07 05:00:00,ICU-General,8,7,1,6,4,2,3,2,5,0.875
2024-05-07 05:00:00,ICU-Cardiac,5,5,0,4,3,1,2,2,3,1.0
2024-05-07 05:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-07 05:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-07 05:00:00,ICU-Trauma,6,5,1,5,4,2,2,3,2,0.8333
2024-05-07 07:00:00,ICU-General,8,7,1,6,4,3,3,3,4,0.875
2024-05-07 07:00:00,ICU-Cardiac,5,5,0,4,3,1,2,3,2,1.0
2024-05-07 07:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-07 07:00:00,ICU-Neonatal,3,3,0,2,2,1,1,1,2,1.0
2024-05-07 07:00:00,ICU-Trauma,6,5,1,5,4,2,2,2,3,0.8333
2024-05-07 09:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-07 09:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-07 09:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-07 09:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-07 09:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-07 11:00:00,ICU-General,8,7,1,6,5,2,3,4,3,0.875
2024-05-07 11:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-07 11:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-07 11:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 11:00:00,ICU-Trauma,6,5,1,5,4,2,2,2,3,0.8333
2024-05-07 13:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-07 13:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-07 13:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-07 13:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-07 13:00:00,ICU-Trauma,6,6,0,5,3,2,3,2,4,1.0
2024-05-07 15:00:00,ICU-General,8,7,1,6,4,3,3,2,5,0.875
2024-05-07 15:00:00,ICU-Cardiac,5,5,0,4,3,2,2,2,3,1.0
2024-05-07 15:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-07 15:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 15:00:00,ICU-Trauma,6,5,1,5,3,2,2,3,2,0.8333
2024-05-07 17:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-07 17:00:00,ICU-Cardiac,5,4,1,4,3,1,2,1,3,0.8
2024-05-07 17:00:00,ICU-Pediatric,4,4,0,3,2,2,2,1,3,1.0
2024-05-07 17:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 17:00:00,ICU-Trauma,6,5,1,5,4,1,2,3,2,0.8333
2024-05-07 19:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
2024-05-07 19:00:00,ICU-Cardiac,5,5,0,4,3,2,2,2,3,1.0
2024-05-07 19:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-07 19:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 19:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-07 21:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
2024-05-07 21:00:00,ICU-Cardiac,5,5,0,4,3,2,2,3,2,1.0
2024-05-07 21:00:00,ICU-Pediatric,4,4,0,3,2,2,2,1,3,1.0
2024-05-07 21:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 21:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-07 23:00:00,ICU-General,8,7,1,6,4,2,3,2,5,0.875
2024-05-07 23:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-07 23:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-07 23:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-07 23:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-08 01:00:00,ICU-General,8,8,0,6,4,3,4,4,4,1.0
2024-05-08 01:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-08 01:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-08 01:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 01:00:00,ICU-Trauma,6,6,0,5,3,2,3,3,3,1.0
2024-05-08 03:00:00,ICU-General,8,7,1,6,3,3,3,4,3,0.875
2024-05-08 03:00:00,ICU-Cardiac,5,5,0,4,3,2,2,2,3,1.0
2024-05-08 03:00:00,ICU-Pediatric,4,3,1,3,2,1,1,2,1,0.75
2024-05-08 03:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 03:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-08 05:00:00,ICU-General,8,7,1,6,4,3,3,3,4,0.875
2024-05-08 05:00:00,ICU-Cardiac,5,4,1,4,2,1,2,1,3,0.8
2024-05-08 05:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 05:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 05:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-08 07:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-08 07:00:00,ICU-Cardiac,5,4,1,4,3,1,2,1,3,0.8
2024-05-08 07:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 07:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 07:00:00,ICU-Trauma,6,6,0,5,4,2,3,3,3,1.0
2024-05-08 09:00:00,ICU-General,8,7,1,6,4,2,3,2,5,0.875
2024-05-08 09:00:00,ICU-Cardiac,5,4,1,4,2,2,2,1,3,0.8
2024-05-08 09:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 09:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-08 09:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-08 11:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-08 11:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-08 11:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 11:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 11:00:00,ICU-Trauma,6,5,1,5,3,2,2,3,2,0.8333
2024-05-08 13:00:00,ICU-General,8,6,2,6,3,2,3,2,4,0.75
2024-05-08 13:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-08 13:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 13:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-08 13:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-08 15:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-08 15:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-08 15:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 15:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-08 15:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-08 17:00:00,ICU-General,8,6,2,6,4,2,3,3,3,0.75
2024-05-08 17:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-08 17:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 17:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-08 17:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-08 19:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-08 19:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-08 19:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 19:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-08 19:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-08 21:00:00,ICU-General,8,7,1,6,3,2,3,3,4,0.875
2024-05-08 21:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-08 21:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-08 21:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-08 21:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-08 23:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-08 23:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-08 23:00:00,ICU-Pediatric,4,3,1,3,2,1,1,2,1,0.75
2024-05-08 23:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-08 23:00:00,ICU-Trauma,6,5,1,5,3,2,2,3,2,0.8333
2024-05-09 01:00:00,ICU-General,8,6,2,6,4,3,3,3,3,0.75
2024-05-09 01:00:00,ICU-Cardiac,5,4,1,4,2,2,2,2,2,0.8
2024-05-09 01:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 01:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 01:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-09 03:00:00,ICU-General,8,6,2,6,4,2,3,3,3,0.75
2024-05-09 03:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-09 03:00:00,ICU-Pediatric,4,3,1,3,2,1,1,2,1,0.75
2024-05-09 03:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 03:00:00,ICU-Trauma,6,4,2,5,3,1,2,2,2,0.6667
2024-05-09 05:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-09 05:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-09 05:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 05:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-09 05:00:00,ICU-Trauma,6,4,2,5,2,1,2,2,2,0.6667
2024-05-09 07:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-09 07:00:00,ICU-Cardiac,5,4,1,4,2,1,2,1,3,0.8
2024-05-09 07:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 07:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 07:00:00,ICU-Trauma,6,4,2,5,3,1,2,2,2,0.6667
2024-05-09 09:00:00,ICU-General,8,6,2,6,4,2,3,3,3,0.75
2024-05-09 09:00:00,ICU-Cardiac,5,4,1,4,2,2,2,2,2,0.8
2024-05-09 09:00:00,ICU-Pediatric,4,3,1,3,1,1,1,1,2,0.75
2024-05-09 09:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 09:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-09 11:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-09 11:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-09 11:00:00,ICU-Pediatric,4,3,1,3,1,1,1,1,2,0.75
2024-05-09 11:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-09 11:00:00,ICU-Trauma,6,5,1,5,3,2,2,3,2,0.8333
2024-05-09 13:00:00,ICU-General,8,6,2,6,3,2,3,2,4,0.75
2024-05-09 13:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-09 13:00:00,ICU-Pediatric,4,3,1,3,1,1,1,1,2,0.75
2024-05-09 13:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-09 13:00:00,ICU-Trauma,6,4,2,5,2,1,2,2,2,0.6667
2024-05-09 15:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-09 15:00:00,ICU-Cardiac,5,3,2,4,2,1,1,1,2,0.6
2024-05-09 15:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 15:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 15:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-09 17:00:00,ICU-General,8,6,2,6,3,2,3,2,4,0.75
2024-05-09 17:00:00,ICU-Cardiac,5,4,1,4,2,1,2,1,3,0.8
2024-05-09 17:00:00,ICU-Pediatric,4,3,1,3,1,1,1,2,1,0.75
2024-05-09 17:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 17:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-09 19:00:00,ICU-General,8,6,2,6,3,3,3,2,4,0.75
2024-05-09 19:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-09 19:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 19:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-09 19:00:00,ICU-Trauma,6,5,1,5,2,1,2,2,3,0.8333
2024-05-09 21:00:00,ICU-General,8,6,2,6,4,2,3,2,4,0.75
2024-05-09 21:00:00,ICU-Cardiac,5,3,2,4,2,1,1,1,2,0.6
2024-05-09 21:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 21:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-09 21:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-09 23:00:00,ICU-General,8,5,3,6,3,1,2,2,3,0.625
2024-05-09 23:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-09 23:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-09 23:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-09 23:00:00,ICU-Trauma,6,4,2,5,2,1,2,1,3,0.6667
2024-05-10 01:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-10 01:00:00,ICU-Cardiac,5,4,1,4,2,2,2,2,2,0.8
2024-05-10 01:00:00,ICU-Pediatric,4,3,1,3,1,1,1,1,2,0.75
2024-05-10 01:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-10 01:00:00,ICU-Trauma,6,4,2,5,3,2,2,1,3,0.6667
2024-05-10 03:00:00,ICU-General,8,6,2,6,3,2,3,2,4,0.75
2024-05-10 03:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-10 03:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
